SEX,AGE,HCOVANY,EDUC,EMPSTAT,FTOTINC,VETSTAT,pov,BLACK
Male,81,With health insurance coverage,High school,Not in labor force,10300,Not a veteran,1,0
Female,70,With health insurance coverage,Some college,Employed,119600,Not a veteran,0,1
Male,65,With health insurance coverage,Some college,Employed,108000,Veteran,0,0
Female,50,With health insurance coverage,High school,Not in labor force,1070,Not a veteran,1,0
Male,67,With health insurance coverage,Some college,Not in labor force,119100,Not a veteran,0,0
Male,65,With health insurance coverage,Some college,Employed,128200,Not a veteran,0,0
Female,74,With health insurance coverage,High school,Not in labor force,28500,Not a veteran,0,0
Female,24,With health insurance coverage,Some college,Employed,30000,Not a veteran,0,0
Male,61,With health insurance coverage,High school,Employed,114400,Not a veteran,0,0
Male,60,With health insurance coverage,Some college,Employed,125000,Not a veteran,0,0
Male,65,With health insurance coverage,High school,Employed,72000,Not a veteran,0,0
Male,32,With health insurance coverage,Some college,Employed,69200,Not a veteran,0,0
Male,41,With health insurance coverage,High school,Employed,38000,Not a veteran,0,1
Female,70,With health insurance coverage,High school,Not in labor force,83700,Not a veteran,0,0
Male,29,With health insurance coverage,High school,Employed,33000,Not a veteran,0,0
Female,32,With health insurance coverage,4+ years of college,Employed,82000,Not a veteran,0,1
Male,95,With health insurance coverage,High school,Not in labor force,99500,Not a veteran,0,0
Female,78,With health insurance coverage,High school,Not in labor force,9300,Not a veteran,1,0
Female,86,With health insurance coverage,High school,Not in labor force,39400,Not a veteran,0,0
Male,25,With health insurance coverage,4+ years of college,Unemployed,20200,Not a veteran,0,0
Female,29,With health insurance coverage,Less than high school,Employed,70000,Not a veteran,0,0
Female,40,With health insurance coverage,High school,Employed,169000,Not a veteran,0,0
Male,74,With health insurance coverage,High school,Not in labor force,93600,Veteran,0,1
Male,79,With health insurance coverage,High school,Not in labor force,15000,Not a veteran,0,0
Male,73,With health insurance coverage,Some college,Not in labor force,3200,Not a veteran,1,0
Female,76,With health insurance coverage,High school,Not in labor force,11000,Not a veteran,1,0
Female,48,No health insurance coverage,High school,Employed,20200,Not a veteran,0,1
Female,46,With health insurance coverage,Some college,Employed,91200,Not a veteran,0,1
Male,76,With health insurance coverage,High school,Employed,190160,Not a veteran,0,0
Female,51,With health insurance coverage,High school,Not in labor force,103700,Not a veteran,0,1
Female,28,With health insurance coverage,High school,Employed,34000,Not a veteran,0,0
Female,85,With health insurance coverage,High school,Not in labor force,26500,Not a veteran,0,0
Female,57,With health insurance coverage,Some college,Not in labor force,20110,Veteran,0,0
Female,70,With health insurance coverage,4+ years of college,Not in labor force,37300,Not a veteran,0,0
Female,28,With health insurance coverage,High school,Not in labor force,0,Not a veteran,1,0
Male,25,With health insurance coverage,High school,Not in labor force,10100,Not a veteran,1,0
Female,66,With health insurance coverage,High school,Employed,35000,Not a veteran,0,0
Male,83,With health insurance coverage,High school,Not in labor force,6600,Veteran,1,0
Female,80,With health insurance coverage,Some college,Not in labor force,159700,Not a veteran,0,0
Female,77,With health insurance coverage,4+ years of college,Not in labor force,25000,Not a veteran,0,0
Female,61,With health insurance coverage,Some college,Not in labor force,0,Not a veteran,1,0
Female,47,With health insurance coverage,Some college,Employed,98400,Not a veteran,0,1
Male,54,With health insurance coverage,Some college,Employed,69000,Not a veteran,0,1
Male,34,With health insurance coverage,4+ years of college,Employed,136300,Not a veteran,0,0
Female,59,With health insurance coverage,4+ years of college,Employed,116600,Not a veteran,0,0
Female,60,With health insurance coverage,High school,Not in labor force,5400,Not a veteran,1,1
Male,56,With health insurance coverage,High school,Not in labor force,1200,Not a veteran,1,1
Female,84,With health insurance coverage,High school,Not in labor force,37200,Not a veteran,0,1
Female,61,With health insurance coverage,Some college,Employed,51000,Not a veteran,0,0
Female,75,With health insurance coverage,High school,Not in labor force,8000,Not a veteran,1,0
Female,58,With health insurance coverage,Some college,Employed,141000,Not a veteran,0,0
Male,52,With health insurance coverage,4+ years of college,Employed,110000,Not a veteran,0,0
Male,57,With health insurance coverage,Some college,Employed,191500,Not a veteran,0,0
Female,36,With health insurance coverage,Some college,Employed,117800,Not a veteran,0,0
Female,55,With health insurance coverage,4+ years of college,Employed,167300,Not a veteran,0,0
Female,61,With health insurance coverage,4+ years of college,Employed,99470,Not a veteran,0,0
Male,77,With health insurance coverage,Some college,Employed,73100,Not a veteran,0,0
Female,62,With health insurance coverage,Some college,Employed,45000,Not a veteran,0,0
Male,28,With health insurance coverage,4+ years of college,Employed,46600,Not a veteran,0,0
Male,71,With health insurance coverage,4+ years of college,Not in labor force,59400,Not a veteran,0,0
Female,49,No health insurance coverage,Some college,Employed,33600,Not a veteran,0,0
Female,41,With health insurance coverage,4+ years of college,Employed,125000,Not a veteran,0,0
Male,50,With health insurance coverage,High school,Employed,50500,Not a veteran,0,0
Female,48,With health insurance coverage,4+ years of college,Employed,175100,Not a veteran,0,0
Female,56,With health insurance coverage,Some high school,Employed,13000,Not a veteran,1,1
Male,74,With health insurance coverage,Some college,Not in labor force,46900,Veteran,0,0
Male,50,With health insurance coverage,High school,Employed,31000,Not a veteran,0,0
Female,82,With health insurance coverage,High school,Not in labor force,58780,Not a veteran,0,0
Female,30,With health insurance coverage,Some college,Employed,83000,Not a veteran,0,0
Male,50,With health insurance coverage,4+ years of college,Employed,648000,Not a veteran,0,0
Female,36,With health insurance coverage,High school,Employed,88600,Not a veteran,0,0
Female,50,With health insurance coverage,4+ years of college,Employed,179000,Not a veteran,0,0
Female,88,With health insurance coverage,High school,Not in labor force,48300,Not a veteran,0,0
Female,65,With health insurance coverage,Some college,Not in labor force,97700,Not a veteran,0,0
Male,70,With health insurance coverage,Some college,Employed,46600,Not a veteran,0,0
Male,77,With health insurance coverage,4+ years of college,Not in labor force,338400,Not a veteran,0,0
Male,54,With health insurance coverage,4+ years of college,Employed,16000,Not a veteran,0,0
Male,55,With health insurance coverage,4+ years of college,Employed,210000,Not a veteran,0,0
Female,28,With health insurance coverage,Some college,Employed,60000,Not a veteran,0,0
Female,64,With health insurance coverage,High school,Not in labor force,83900,Not a veteran,0,0
Female,57,With health insurance coverage,4+ years of college,Employed,62000,Not a veteran,0,0
Female,69,With health insurance coverage,Some college,Not in labor force,28340,Not a veteran,0,0
Female,32,With health insurance coverage,4+ years of college,Not in labor force,83000,Not a veteran,0,0
Female,75,With health insurance coverage,High school,Not in labor force,20600,Not a veteran,0,0
Male,76,With health insurance coverage,High school,Not in labor force,78700,Not a veteran,0,0
Female,95,With health insurance coverage,Some high school,Not in labor force,67000,Not a veteran,0,0
Female,31,With health insurance coverage,High school,Not in labor force,55000,Not a veteran,0,0
Female,80,With health insurance coverage,Some college,Not in labor force,57600,Not a veteran,0,0
Male,86,With health insurance coverage,High school,Not in labor force,47200,Veteran,0,0
Male,75,With health insurance coverage,High school,Not in labor force,45000,Not a veteran,0,1
Female,41,With health insurance coverage,Some college,Employed,174200,Not a veteran,0,0
Female,63,With health insurance coverage,High school,Not in labor force,33500,Not a veteran,0,0
Male,69,With health insurance coverage,Some college,Not in labor force,42300,Not a veteran,0,0
Male,44,With health insurance coverage,High school,Not in labor force,23850,Not a veteran,1,0
Female,76,With health insurance coverage,Some college,Not in labor force,50800,Not a veteran,0,0
Female,37,With health insurance coverage,Some college,Employed,31200,Not a veteran,1,0
Male,67,With health insurance coverage,4+ years of college,Employed,141000,Not a veteran,0,0
Male,62,With health insurance coverage,High school,Not in labor force,2000,Not a veteran,1,0
Male,82,With health insurance coverage,High school,Not in labor force,47600,Veteran,0,0
Female,67,With health insurance coverage,High school,Employed,92000,Not a veteran,0,0
Female,50,No health insurance coverage,Some college,Not in labor force,70500,Not a veteran,0,0
Male,50,With health insurance coverage,4+ years of college,Employed,142000,Not a veteran,0,0
Female,78,With health insurance coverage,High school,Not in labor force,13700,Not a veteran,1,0
Female,61,With health insurance coverage,High school,Employed,10500,Not a veteran,1,0
Male,66,With health insurance coverage,High school,Not in labor force,152700,Not a veteran,0,0
Female,59,With health insurance coverage,High school,Employed,1300,Not a veteran,1,0
Female,32,With health insurance coverage,Some college,Employed,41000,Not a veteran,0,0
Male,72,With health insurance coverage,4+ years of college,Not in labor force,130630,Not a veteran,0,0
Male,69,With health insurance coverage,4+ years of college,Not in labor force,48000,Not a veteran,0,0
Male,73,With health insurance coverage,Some college,Not in labor force,92200,Not a veteran,0,0
Female,76,With health insurance coverage,Some college,Not in labor force,35600,Not a veteran,0,0
Male,44,With health insurance coverage,High school,Employed,128000,Not a veteran,0,0
Male,81,With health insurance coverage,Some college,Not in labor force,198700,Not a veteran,0,0
Female,40,With health insurance coverage,High school,Employed,190000,Not a veteran,0,0
Male,28,With health insurance coverage,Some college,Employed,50000,Not a veteran,0,0
Female,42,With health insurance coverage,Some college,Employed,106000,Not a veteran,0,0
Male,64,With health insurance coverage,4+ years of college,Not in labor force,112200,Not a veteran,0,0
Female,63,With health insurance coverage,Some college,Employed,30700,Not a veteran,0,0
Male,33,With health insurance coverage,Some college,Employed,18200,Not a veteran,0,0
Male,70,With health insurance coverage,Some college,Not in labor force,54600,Veteran,0,0
Male,66,With health insurance coverage,Some college,Not in labor force,48500,Not a veteran,0,0
Male,57,With health insurance coverage,High school,Employed,163000,Not a veteran,0,0
Female,33,With health insurance coverage,4+ years of college,Employed,84000,Not a veteran,0,0
Male,53,With health insurance coverage,Some college,Employed,136000,Not a veteran,0,0
Male,40,With health insurance coverage,4+ years of college,Employed,53000,Not a veteran,0,1
Female,73,With health insurance coverage,High school,Not in labor force,467400,Not a veteran,0,0
Female,60,With health insurance coverage,Some college,Employed,86000,Not a veteran,0,0
Male,50,With health insurance coverage,Some college,Employed,262000,Not a veteran,0,0
